"iter"	"fitness"	"open"	"pCC"	"pCD"	"pDC"	"pDD"	"status"
29	2.08125	1	1	0.22587865303486082	0.8987211495061936	0.06006455674954338	"discard"
30	2.129326923076923	0.8914558483303002	1	0.3209104740796466	1	0	"keep"
31	2.0942307692307693	0.9664298307814281	0.875467616805184	0.360164439105252	0.8111932921622874	0	"discard"
32	2.090384615384615	0.8019674401102921	0.8079925184093621	0.28859170327212225	0.9154624737668706	0	"discard"
33	2.0950320512820513	0.9151746476026538	0.9158816041897149	0.4920075883049644	0.9185421033296415	0	"discard"
34	2.110576923076923	0.9803454185955318	0.9367358181542966	0.3766995739837517	0.9554700601468844	0.03583906164619664	"discard"
35	2.092307692307692	0.6987492566933068	1	0.05124763125389087	1	0	"discard"
36	2.0802884615384616	0.8427776829855308	1	0.4569004208107632	0.7723768230179895	0.020214814688793308	"discard"
37	2.084455128205128	1	0.9131228240602287	0.1740378694908089	0.9951230006686486	0.2212589823959657	"discard"
38	2.107051282051282	0.8552876463093738	1	0.4531049450635145	1	0.2855572628301736	"discard"
39	2.0761217948717943	0.8475963386745127	0.9709705800799081	0.4603403576383876	0.829763944613231	0	"discard"
40	2.0931089743589744	0.8134634799687868	1	0.34543088913012004	0.8034423113205524	0	"discard"
41	2.0998397435897433	1	0.9689881683624224	0.3127841622973581	0.9807170802539479	0	"discard"
42	2.076602564102564	0.822232305731529	1	0.6926705050637013	0.896548961274359	0.16868647635759834	"discard"
43	2.077884615384615	1	0.8624181494892016	0.24244003604931352	1	0	"discard"
44	2.0809294871794872	0.8741526558869059	0.9874701713895639	0.14865833395010167	0.7361795014076825	0	"discard"
45	2.1126602564102566	1	1	0.43380748451288165	1	0.01773319234519575	"discard"
46	2.0796474358974355	0.7883739184528984	0.6482628468035458	0.4647392914087288	0.8687353120834497	0	"discard"
47	2.101602564102564	0.993190556471831	0.6537810262961596	0.3098930931839621	0.9743914546141088	0.04221922243647927	"discard"
48	2.0732371794871796	0.6147812542160136	0.9445528228629075	0.43694717461391475	0.9812271125805321	0	"discard"
49	2.1213141025641025	0.9487900669655461	1	0.356460992247782	1	0.039025955385727236	"discard"
50	2.0708333333333333	0.9569725655676885	0.8773351470483726	0.5371726355841793	0.8604716636824778	0.08205301588774072	"discard"
51	2.12275641025641	0.7073672585386368	0.9832833621647914	0.3118015098706017	1	0	"discard"
52	2.1115384615384616	0.7703625985084961	1	0.34839590236822554	0.8935086025359736	0.0715560398087209	"discard"
53	2.0940705128205126	0.8728732328100164	0.9585547483572396	0.28620954342004146	1	0.16676280362374585	"discard"
54	2.092307692307692	1	1	0.09697611266030354	0.9879858142141934	0	"discard"
55	2.102724358974359	1	0.9382560715388709	0.4348447359480624	0.9273170108818456	0.1440422679751822	"discard"
56	2.0777243589743586	0.7495709249173612	0.9445670073650979	0.10835140271705426	0.7629055431235807	0	"discard"
57	2.090384615384615	0.7703721249322475	0.947444149578352	0.2763064539339059	1	0.2547535796160558	"discard"
58	2.0932692307692307	0.9747486628576059	0.9124092954832301	0.2585699438072823	1	0.03135001191133076	"discard"
59	2.09375	0.858625132165113	0.9989557708858445	0.1320064735800775	1	0	"discard"
60	2.0719551282051283	0.5444012386598227	0.750431908328101	0.4115120988883803	0.8772901715951437	0	"discard"
61	2.128365384615385	0.8802268636951165	1	0.39299578870674023	1	0.009248713110047215	"discard"
62	2.1017628205128203	1	0.9088705729561944	0.5260458848543271	1	0.11083096239727065	"discard"
63	2.047115384615385	1	0.9655187572875629	0.7274567200105524	0.9738231206388783	0	"discard"
64	2.090865384615385	0.8738035460952693	1	0.37504191406564275	0.7855634099889509	0	"discard"
65	2.08974358974359	0.7791342425964988	0.938231816722505	0.5296171724800225	1	0.1869676435378791	"discard"
66	2.129166666666667	0.9769712028825706	1	0.3139994438043627	1	0	"discard"
67	2.1003205128205127	1	1	0.1878325232165051	1	0	"discard"
68	2.0940705128205126	0.7670527731623236	0.9683334115410452	0.35866908338248904	0.8778471732053953	0.006137825894148767	"discard"
69	2.120352564102564	1	0.9958704551013624	0.36513421935776513	1	0.1408443502563002	"discard"
70	2.0857371794871797	1	1	0.15075311450013473	0.9445222573699956	0	"discard"
71	2.1076923076923073	0.6889067474409469	1	0.2900055959238674	1	0	"discard"
72	2.101923076923077	0.8288524077744952	0.8812322667005011	0.333342336030201	1	0	"discard"
73	2.123076923076923	1	1	0.302974936491994	0.966002429651869	0.12231488799935446	"discard"
74	2.0947115384615382	1	1	0.4583306478432044	0.8134707575243907	0	"discard"
75	2.08301282051282	0.7851839129884387	0.7655424640829042	0.1907434941682899	1	0.2194732219665891	"discard"
76	2.0761217948717947	0.856423261286567	0.7236707719258006	0.20642949007124817	0.9105029034749177	0.10999824836405678	"discard"
77	2.0977564102564106	0.9048000273114993	0.9125248987547288	0.24487958858940329	1	0.023490377649929076	"discard"
78	2.1009615384615383	1	0.9552355423084633	0.04781551728543654	0.9816404011046918	0.05704665748486095	"discard"
79	2.093108974358975	0.8452185448257563	1	0.2777029437744447	0.8284093947737599	0.1932464492981653	"discard"
80	2.1338141025641026	0.9652593396728125	1	0.3813235422256728	1	0.013214772647439447	"keep"
81	2.0567307692307693	0.9866037625723042	0.9395455901940664	0.6417789466365105	0.9809805780023291	0.03316288223640824	"discard"
82	2.0940705128205135	0.9492024497721514	1	0.1795671656628837	0.9086117523065596	0	"discard"
83	2.095673076923077	0.7979338200879074	0.9787905135411697	0.19993126597743177	1	0	"discard"
84	2.110737179487179	0.9166736039101798	0.8961990653011853	0.20021702944595374	1	0	"discard"
85	2.126602564102564	0.9148661447380918	1	0.4079831819900301	0.9891523919476185	0.10055953005284111	"discard"
86	2.125	0.8675670931653369	1	0.36063668743698496	1	0.11908141736283921	"discard"
87	2.099358974358974	1	1	0.18970276474009568	1	0.04024376562158615	"discard"
88	2.102724358974359	1	0.9485313259655329	0.5053768514919637	0.9520450630247351	0.13572866392925967	"discard"
89	2.090544871794872	0.92923622337803	1	0.16645037412407934	1	0	"discard"
90	2.0923076923076924	0.8780577609976128	0.7905977980085178	0.4304998171756698	1	0	"discard"
91	2.0862179487179486	1	0.7713907234420819	0.3622388534110041	0.9903351035792639	0.047705508537130265	"discard"
92	2.104487179487179	0.8594934647680939	1	0.555854774752685	1	0.1532199411181715	"discard"
93	2.0963141025641026	0.9811830893646625	0.9228347573614277	0.5755914718382993	1	0.19172739871241176	"discard"
94	2.094391025641025	0.9734380803821934	1	0.19325144573615952	1	0.1938321567791527	"discard"
95	2.1266025641025648	0.985576071802211	0.9831199503878434	0.3209283993469169	1	0	"discard"
96	2.1139423076923074	1	1	0.5399739021325027	1	0.04356806227534049	"discard"
97	2.0785256410256414	1	0.8369685732411876	0.30378732004070036	0.8383270728550697	0.023110701610356398	"discard"
98	2.0934294871794874	0.7831568870990663	0.9719477169603685	0.050638541276552596	1	0	"discard"
99	2.105929487179487	0.8716987831878258	1	0.3509467311466761	0.9575991968476434	0.026395041639887883	"discard"
100	2.1224358974358974	0.9787963620361798	1	0.49997655260655	1	0	"discard"
101	2.075480769230769	0.8144362357415587	0.8305798822391681	0.27308673185716864	0.8283790769623338	0.061998049331973726	"discard"
102	2.104326923076923	0.9359474541192672	1	0.6552652845696392	0.9724645318665402	0.16196055456569247	"discard"
103	2.077884615384615	0.9224304009938996	0.992855984867943	0.6341019006244369	0.8292850358093166	0	"discard"
104	2.10625	1	0.9652739435870028	0.5025069669899271	1	0.06735246309218876	"discard"
105	2.0604166666666663	1	0.7687374266447359	0.40012517915503004	0.763957211394749	0	"discard"
106	2.1169871794871793	1	1	0.33514211803260674	1	0.0452224637847645	"discard"
107	2.1144230769230767	1	1	0.4599277290329487	1	0.036765262950398975	"discard"
108	2.0971153846153845	0.8210215771835325	1	0.6203007578376896	1	0	"discard"
109	2.1110576923076922	0.9372696460388904	1	0.3267647550993389	0.960813412520386	0	"discard"
110	2.1112179487179485	1	0.9950152089769342	0.31103516376143003	1	0.15921927757242038	"discard"
111	2.0762820512820515	0.9267328237502125	0.8870298305205375	0.10240488265359615	0.8322957153751303	0	"discard"
112	2.105608974358974	1	0.9369205411910372	0.3255219802541007	1	0.05477335851888778	"discard"
113	2.0985576923076925	1	1	0.5863748612551162	0.9433085954375484	0	"discard"
114	2.0947115384615382	1	1	0.2535281385255317	0.9536896423070502	0.030581057740062124	"discard"
115	2.1123397435897435	0.8867234328794554	0.8805308357104119	0.4481524081898686	1	0	"discard"
116	2.1147435897435893	0.8193596442244733	1	0.3074427153040057	0.8862158524428443	0	"discard"
117	2.1104166666666666	1	0.9058311419989216	0.43100653615156637	1	0.03210391307658778	"discard"
118	2.0769230769230766	0.7772836573435691	0.8395753496831395	0.4334964738242336	0.9015180462495903	0	"discard"
119	2.0889423076923075	0.8922311588056406	0.9855019283386202	0.344007390466159	0.6610590555089164	0	"discard"
120	2.0966346153846156	0.8067402473313992	0.9479432972121374	0.37475633708421147	1	0.18655578372819032	"discard"
121	2.0658653846153845	0.7571641495627994	0.795906437916041	0.6502685516462088	1	0.021940024553700463	"discard"
122	2.115384615384616	0.8877636012924679	0.9945193773280554	0.3043502745620677	1	0.08662227729055305	"discard"
123	2.1248397435897433	0.9685873606525476	1	0.4007153932537021	1	0.056469184283597346	"discard"
124	2.0947115384615382	1	0.7371475517532919	0.3530851156259519	1	0.026562933467700754	"discard"
125	2.131730769230769	0.9615194595320141	1	0.48164440824631305	1	0	"discard"
126	2.0722756410256413	0.909009911652649	0.9413796329942055	0.604111949390817	0.9886316163965633	0	"discard"
127	2.0642628205128206	0.96360745184598	0.7853924927962102	0.22074196729458578	0.9374540101624033	0.003302399996764481	"discard"
128	2.099038461538462	0.9537878190175776	0.7441623530969748	0.37222312379661626	1	0.12273386266357267	"discard"
129	2.126121794871795	0.8285592604771848	1	0.33143271234229776	1	0.0011868462696979915	"discard"
130	2.085096153846154	1	0.878567344747212	0.5399269248864849	0.9647906305996621	0	"discard"
131	2.116826923076923	0.8773280288231168	1	0.3798365002495169	0.8772297278719232	0.1777667990642437	"discard"
132	2.080608974358974	0.8982573189881262	0.9738827121951372	0.1999978317817067	0.9222369628292323	0	"discard"
133	2.088301282051282	1	0.9707719544009795	0.47038279850071896	0.9886756078888003	0.1664412071479842	"discard"
134	2.091346153846154	0.9609055360813694	0.872580504523293	0.29353564315038605	0.9883811731469165	0.10743489092685286	"discard"
135	2.1001602564102564	0.9457585732836397	1	0.3379845682597533	0.9421920735669873	0.2949627205094121	"discard"
136	2.1133012820512818	0.9485985705509158	1	0.386678088324592	0.9569390982081144	0	"discard"
137	2.126923076923077	1	1	0.42885991320957323	1	0.0916038735733724	"discard"
138	2.085897435897436	0.9719308961267721	0.94983230297918	0.4032699931373464	0.8815613371753594	0	"discard"
139	2.084775641025641	0.895867543101399	0.7277461928435283	0.23848796131813452	0.9224041178980646	0.39952507597270304	"discard"
140	2.0924679487179487	1	1	0.5411218913086211	0.9433389236982935	0.03311830891075438	"discard"
141	2.069551282051282	0.9566716925938061	0.9647604237467553	0.683898529841166	1	0.03715303782315062	"discard"
142	2.066346153846154	1	0.7325545980242567	0.22577025618773602	0.8842713049433135	0.14129142107837034	"discard"
143	2.0895833333333327	0.7976278326827393	1	0.18404741264160737	1	0	"discard"
144	2.080128205128205	0.8832168718700062	0.8774909499577067	0.14577600612078412	1	0	"discard"
145	2.107051282051282	0.9129458240243203	0.8650311113792575	0.35156455208151965	1	0	"discard"
146	2.1121794871794872	1	1	0.28266386423843176	0.945205205208524	0	"discard"
147	2.1009615384615383	1	1	0.21586473332485964	1	0.07838790668719553	"discard"
148	2.128205128205128	0.9453482843629012	1	0.3457092607421539	1	0	"discard"
149	2.103846153846154	0.902267577966863	0.9902934959759632	0.42398972335060325	0.8831761576580924	0.4584119081733636	"discard"
150	2.1133012820512818	0.8307309844006998	1	0.3678441914107272	0.9785245976275527	0	"discard"
