"iter"	"fitness"	"open"	"pCC"	"pCD"	"pDC"	"pDD"	"status"
0	2.0801282051282053	1	1	0	1	0	"init"
1	2.089583333333333	1	1	0	0.9904145396575517	0	"keep"
2	2.100801282051282	1	1	0	0.968055676481711	0.057712365966810876	"keep"
3	2.08349358974359	0.9537549364508675	1	0.004044940119510085	0.7462940885004096	0.17036194521687023	"discard"
4	2.068108974358974	1	0.8318238101803164	0	0.8444895035497659	0.14422330244073153	"discard"
5	2.0812500000000003	1	0.7207520527021672	0	0.8977911029184177	0	"discard"
6	2.0854166666666667	1	1	0	1	0.03941462265137075	"discard"
7	2.0907051282051285	0.9125153071698063	1	0.07989439220083074	0.7919071240377568	0.2704136420884181	"discard"
8	2.088782051282051	1	1	0	0.9995470241564415	0.03449293388830262	"discard"
9	2.084455128205128	1	0.942124955052714	0	0.9885637926089399	0.15002616262157417	"discard"
10	2.094551282051282	1	1	0.05906087723809189	1	0.08762279060424343	"discard"
11	2.087980769230769	1	1	0	0.8487662661700804	0.12207587223277311	"discard"
12	2.0943910256410256	0.7760775641064191	1	0.036717751672002974	0.9804303232441212	0.10267955217900546	"discard"
13	2.084775641025641	1	0.9790752607605254	0	0.8529708339015479	0.10748587723915656	"discard"
14	2.109294871794872	0.9087932967402881	0.887130318873238	0.268275824103002	1	0	"keep"
15	2.081089743589744	0.9565432760583517	0.8462194669440797	0.19939719165870246	1	0	"discard"
16	2.0839743589743587	0.8544108322890938	0.8408347553047025	0.09220088964438217	1	0	"discard"
17	2.081570512820513	0.885602761603455	0.86444400706072	0.1265696262420871	0.9737587926316138	0.15045695832543385	"discard"
18	2.126923076923077	0.9617917733050224	1	0.3230048797052522	0.9968052002831732	0	"keep"
19	2.092628205128205	0.949915980564482	0.8860781423132171	0.17773171083681372	1	0	"discard"
20	2.1075320512820515	1	1	0.2792854054405106	0.9394596282844276	0.12817501860571578	"discard"
21	2.097916666666667	0.7709384462227826	0.931492376736236	0.024795011124786992	0.9020769092943878	0.019352514252770986	"discard"
22	2.088301282051282	0.8915488987809367	0.8586470216551236	0.3690740035101628	0.8883920427335869	0.13229801984427836	"discard"
23	2.1099358974358973	1	1	0.2824657463790307	1	0.06798188896331515	"discard"
24	2.0927884615384618	0.9373815960784022	1	0.456122052761245	0.8606852640157652	0	"discard"
25	2.094551282051282	0.8215257049867914	0.8638595873795776	0.272036150711348	1	0	"discard"
26	2.096955128205128	0.9063221468813625	0.8803328293842022	0.3887053728341181	0.8964887655178257	0.07755784481807944	"discard"
27	2.082532051282051	0.7825288383178122	0.8527433230890871	0.3871273705532796	0.9488740005249072	0	"discard"
28	2.0942307692307693	0.8088267425725648	0.9213968664407788	0.22356272245361775	1	0.011556990441420029	"discard"
