"rank","strategy","meanScore"
1,"GenerousTFT",2.658976923076923
2,"ZD-Generous",2.655923076923077
3,"TitFor2Tats",2.623711538461538
4,"TitForTat",2.601861538461539
5,"AllC",2.5970769230769233
6,"Pavlov",2.5690538461538464
7,"Gradual",2.5442615384615386
8,"Grim",2.540584615384615
9,"2TitsForTat",2.514653846153846
10,"Random",2.0217615384615386
11,"SuspiciousTFT",1.912326923076923
12,"AllD",1.8000153846153846
13,"ZD-Extort-2",1.7119461538461538
