"vs","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
"AllC",2.8782,0.40535,1.6457,2.63865,2.6417,2.7273,2.85025,2.4295,0.52545,1.6829,1.42855,2.0544,2.6836
"AllD",4.4216,1.2993,2.87155,1.61325,1.59455,2.5565,1.9073,1.3414,1.2941,2.8559,1.32225,1.5258,2.1881
"Random",3.65845,0.8418,2.23635,2.2489,2.2297,2.7052,2.948,1.5614,0.8813,2.26475,0.9096,1.8391,2.49985
"TitForTat",3.04015,1.18025,2.2409,2.2867,2.2469,2.7454,2.96165,1.3581,1.2419,2.25245,1.284,1.76035,2.57155
"SuspiciousTFT",3.03545,1.1963,2.2512,2.2459,2.2399,2.73665,2.95125,1.3765,1.2212,2.23545,1.2342,1.73245,2.56545
"GenerousTFT",2.9838,0.93125,2.0652,2.5294,2.49165,2.7556,2.9414,1.70005,1.01795,2.2111,1.05345,1.9108,2.6343
"TitFor2Tats",2.91975,1.1083,1.93025,2.59715,2.5765,2.7239,2.876,1.8919,1.19535,2.02155,1.3095,1.9401,2.6609
"2TitsForTat",3.176,1.2709,2.56265,1.7116,1.7145,2.63805,2.63915,1.3844,1.31885,2.6985,1.34765,1.56255,2.27835
"Grim",4.34845,1.29235,2.83705,1.6414,1.5782,2.53595,1.9621,1.3826,1.3438,2.85885,1.3518,1.5369,2.2124
"Pavlov",3.6344,0.8594,2.239,2.2662,2.2362,2.69335,2.7848,1.26275,0.89735,2.60095,0.93455,1.8392,2.52325
"Gradual",3.7823,1.28125,2.81485,1.6775,1.6227,2.5342,2.01875,1.37815,1.3308,2.83355,1.3398,1.5364,2.22185
"ZD-Extort-2",3.3959,1.22555,2.4326,1.9686,1.9317,2.7003,2.7736,1.3448,1.2629,2.36895,1.27965,1.6584,2.45575
"ZD-Generous",3.0131,1.03735,2.1496,2.43655,2.42395,2.7568,2.9789,1.43235,1.1064,2.2885,1.14635,1.8835,2.6086
