"noise","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
0,0.0046806875,0.0001560625,0.002856375,0.0027220625,0.0011523125,0.003943625,0.8225801875,0.00038225,0.022757187499999998,0.008234499999999999,0.12736875,0.0008094374999999999,0.0023565624999999997
0.02,0.0009105,0.07766674999999999,0.041383625,0.000373375,0.0005514375,0.00395575,0.6650970625,0.0008649374999999999,0.000297,0.0017239999999999998,0.026852624999999998,0.0019596875,0.17836325
0.04,0.007585125,0.0004125,0.0866165625,0.009665499999999999,0.3624800625,0.12166693749999999,0.1790208125,0.002433875,0.008347125,0.002028,0.201608125,0.017185437499999998,0.0009499374999999999
0.06,0.0605451875,0.06435756249999999,0.0604428125,0.011181812499999999,0.0393298125,0.37146324999999997,0.25022925,0.0427481875,0.0006769375,0.0407689375,0.0007759374999999999,0.0020582499999999997,0.0554220625
0.08,0.0023135,0.00037175,0.10330075,0.0024667499999999998,0.0057791875,0.33492099999999997,0.49001443749999996,0.052877,0.0005000625,0.0005045625,0.0013502499999999999,0.001689375,0.003911375
0.1,0.0097601875,0.0019610624999999997,0.0018001249999999999,0.0004111875,0.00047424999999999995,0.000795625,0.2243535625,0.019472875,0.5722974375,0.1147975,0.001323,0.0030937499999999997,0.049459437499999995
0.12,0.00020099999999999998,0.0011051875,0.00032937499999999997,0.0007477499999999999,0.0013448124999999999,0.0001986875,0.0010018124999999999,0.0031325625,0.9844653124999999,0.0008033749999999999,0.0031894375,0.0023599375,0.00112075
0.14,0.00008575,0.9807335625,0.0003491875,0.00047231249999999997,0.0005833125,0.001753,0.000484375,0.0083330625,0.001820625,0.00027956249999999997,0.00393625,0.00046412499999999997,0.000704875
0.16,0.00052825,0.0018834375,0.0005499375,0.00212,0.0009940625,0.0004369375,0.0036778749999999997,0.0031266874999999997,0.3583205,0.0005521874999999999,0.6270463125,0.00021175,0.0005520624999999999
0.18,0.0004899375,0.0006531875,0.0009888124999999999,0.253980125,0.0021174375,0.0301096875,0.000828125,0.0021778749999999997,0.7030735625,0.00160775,0.0002945,0.00031012499999999996,0.003368875
0.2,0.0035259375,0.001106375,0.0004973124999999999,0.0032400625,0.2097943125,0.1791241875,0.014539687499999999,0.00039325,0.00397025,0.0038101249999999997,0.5791054375,0.0004912499999999999,0.0004018125
