"noise","open","pCC","pCD","pDC","pDD","fieldScore","tftFieldScore","improvement"
"0.","1","1","0.22805715853563063","0.9737209054627183","0.16809290484340939","2.6647435897435896","2.600480769230769","0.06426282051282062"
"0.05","0.9181417404986194","1.","0.6103438486521772","0.6889235373009643","0.4062698283345788","2.193429487179487","2.061057692307692","0.13237179487179507"
"0.1","1.","0.","0.","1.","0.32610762883329597","2.135737179487179","2.0801282051282053","0.05560897435897383"
"0.15","0.8385434851802315","0","0.2895953565627402","0","0.8015885599213834","2.16650641025641","2.121153846153846","0.04535256410256405"
"0.2","0.2864359447711253","0.07272535432943654","0.","0.","0.001129972873971275","2.2243589743589745","2.104326923076923","0.12003205128205163"
