"rank","strategy","meanScore"
1,"TitFor2Tats",2.1932653846153847
2,"AllC",2.1709692307692303
3,"GenerousTFT",2.144923076923077
4,"ZD-Generous",2.119069230769231
5,"TitForTat",2.0705999999999998
6,"Pavlov",2.0543538461538464
7,"Random",2.0478115384615383
8,"SuspiciousTFT",2.0429807692307693
9,"Grim",1.9666692307692306
10,"ZD-Extort-2",1.9548615384615384
11,"AllD",1.9354923076923076
12,"2TitsForTat",1.9209653846153845
13,"Gradual",1.8942269230769229
