"rank","strategy","meanScore"
1,"TitFor2Tats",2.1347038461538466
2,"ZD-Generous",2.0970730769230768
3,"GenerousTFT",2.094303846153846
4,"TitForTat",2.0900230769230768
5,"SuspiciousTFT",2.0786076923076924
6,"Grim",2.0678346153846157
7,"Random",2.063415384615384
8,"ZD-Extort-2",2.061438461538461
9,"AllD",2.060892307692308
10,"Pavlov",2.059338461538462
11,"AllC",2.0455038461538466
12,"Gradual",2.028623076923077
13,"2TitsForTat",2.023319230769231
