"gen","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
1,0.07089198259522843,0.08024588649895525,0.07633907097195342,0.07685577547872638,0.07689153453525735,0.07496317890147726,0.07508861280132424,0.07826902051716805,0.08038365588729547,0.07616069149228154,0.07999896882759902,0.07787726480676199,0.07603435668597155
21,0.009872475660526611,0.14215376593404444,0.042861258333962315,0.07259488706216115,0.07136369894150038,0.037351897483948175,0.046431008741730714,0.10832915047441431,0.14934742208162605,0.04049352191836988,0.13794980800004594,0.08864764388507425,0.05260346148259573
41,0.0011334177919793196,0.18473143733848135,0.01221700864333527,0.06000444282800794,0.05561255441448805,0.012924671239602028,0.02695443132242248,0.1401424719330732,0.20787084122139354,0.01039375149196549,0.1787393478355366,0.08273995901733842,0.02653566492237639
61,0.00042822143435967497,0.21415795358202253,0.002195587574587631,0.03707294132194234,0.03150447294813027,0.0030141458495999566,0.01160324368937209,0.1631984501692918,0.26128584906578445,0.0017211690740867765,0.20524082625762713,0.06002873597138043,0.008548403061814844
81,0.00031811941446135684,0.23429608227720403,0.0006422023153082229,0.01569569205203955,0.012127219254687346,0.0008287349540739923,0.0033928335760565575,0.16590128837080095,0.31233749732329374,0.0005719221631861805,0.2195802971292577,0.032302793910246166,0.002005317259384221
101,0.0002716127254224522,0.24324636566154031,0.0004715422006242843,0.0054114080583537475,0.0039476216814434105,0.0005371733914380548,0.001140689295832143,0.15119852117547403,0.3570383552753526,0.00044857000979582964,0.2212706024274388,0.014221970441650916,0.0007955676556334729
121,0.00024821673298020376,0.24390255028939964,0.000430988630360293,0.002160802674473629,0.0016574213758224785,0.0004805624822934621,0.0007347645080581988,0.13052166972631668,0.3976317508055076,0.00041691726934130386,0.21508690741160574,0.006101514481878639,0.0006259336119621319
141,0.00023357770907576572,0.2392616070512321,0.0004103917187336091,0.0013031413871379836,0.0011133558235241273,0.0004554502066786639,0.000646551658962392,0.11011466514284192,0.437466668795154,0.0004015047651026736,0.2049889107246935,0.003017015648068262,0.0005871593687950319
161,0.0002229768542613337,0.23068385989501258,0.00039646880527626464,0.0010821151212703406,0.0009806350874453679,0.0004392308471102994,0.0006073432450685588,0.091941107011547,0.4780294544553552,0.00039150772132611524,0.1927363955635717,0.0019209870593353171,0.0005679183334201184
181,0.00021479452546762149,0.21880989318519128,0.00038593597417509,0.001016128014578477,0.000938218220038782,0.00042734366849514683,0.0005806126036225756,0.0764053855396262,0.5196404424217252,0.000384070551341279,0.1791067216182944,0.001535868451224764,0.0005545852262193418
