"rank","strategy","meanScore"
1,"TitFor2Tats",2.397657692307692
2,"AllC",2.3510615384615385
3,"GenerousTFT",2.3503538461538467
4,"ZD-Generous",2.275584615384615
5,"TitForTat",2.1522384615384618
6,"Pavlov",2.141726923076923
7,"Random",2.0239499999999997
8,"Grim",2.0013076923076927
9,"SuspiciousTFT",1.9952884615384614
10,"2TitsForTat",1.9922961538461539
11,"Gradual",1.9849807692307695
12,"AllD",1.8312384615384614
13,"ZD-Extort-2",1.8021038461538461
