"noise","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
0,0.11118156108276339,0.00022046259018997463,0.0003054444307441944,0.11327191902427086,0.0003041189376588848,0.12422572694625131,0.1188680125505801,0.09726102217428467,0.10175978514296398,0.10644336916802308,0.10176968117007976,0.00021806335186359165,0.12417083343032609
0.02,0.011576468820570993,0.0003862786335893319,0.0018590450941552228,0.011843639511006072,0.005927038258901837,0.9377174742435133,0.014656761255294047,0.0010643046343252597,0.0005168509461434348,0.0030745596748669945,0.0006059408290351997,0.0012449999896891235,0.009526638108909403
0.04,0.04615549838979572,0.00035623135221966466,0.004292906398524067,0.010490539171539965,0.010549657201668866,0.558432943224327,0.1849103558657473,0.0006993274244388299,0.00042024326172735685,0.0032869595779300926,0.00042302823712749016,0.0010861847857465893,0.17889612510920705
0.06,0.016360307581892254,0.00021976594304662838,0.003393713034228892,0.011920156396567924,0.008567478248514298,0.03701478681652242,0.5564385720576436,0.0005439035911853304,0.00024266956270887628,0.0015915264189331438,0.00026651437587053227,0.0008989067704700003,0.3625416992024162
0.08,0.01572258637479268,0.0002885676594411669,0.00315625362035088,0.00708904768204295,0.00756048722120718,0.0907678812979839,0.40442117837171887,0.0005989307826184352,0.00030834136008145544,0.001716629344821191,0.00033935447102749743,0.0009920625027609589,0.4670386793111528
0.1,0.03844899036120287,0.0004284342889382962,0.0028219552859448673,0.0035334948970808227,0.005424298162543578,0.024260554662425302,0.21059609520027445,0.0006877037783515728,0.00044330079357817706,0.0022271277055021218,0.00047683540519623377,0.0012189499456510139,0.7094322595133107
0.12,0.007858694051053775,0.0011936213867780978,0.015583799000866858,0.014243839284626083,0.049411100870310184,0.8778074169758558,0.009237622874600029,0.0021336020245406617,0.0014498316315247743,0.004322569786339937,0.0016744767504910457,0.004263286184488754,0.01082013917852391
0.14,0.012339680567293173,0.0018779399685329198,0.008793280949311054,0.009742169467465728,0.02886243061867045,0.8138133018604434,0.013996179927212095,0.003572284805893039,0.0022309137331469413,0.0059648831355812665,0.0034945632877078432,0.07067854212670716,0.02463382955203478
0.16,0.010448329777913814,0.0016996540479769508,0.009817507220259375,0.006230051745528925,0.18751101249035768,0.7367509590664174,0.006867516983652492,0.0018083056061957694,0.001986500526163671,0.011749452799984779,0.00191602366070204,0.005597667347282757,0.01761701872756428
0.18,0.0032588773182994483,0.005885213099437337,0.16354890393658164,0.05282453954359277,0.3159587256886792,0.321869164134436,0.009226548281263902,0.003784850892855681,0.0040820518683097285,0.015566328722979963,0.0083363988072994,0.010730127286846426,0.08492827041941872
0.2,0.00017241965914871713,0.9850038968666205,0.00034379628891060274,0.0007258684141766726,0.000828217585833784,0.00034166977361255624,0.00043567273928368994,0.0030915792278479897,0.002327121906502644,0.0003208428254795974,0.0045778977439487,0.001390272203099355,0.0004407447655353205
