"vs","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
"AllC",2.98875,0.0394,1.51645,2.9567,2.94455,2.9719,2.99005,2.9415,1.3956,1.67745,2.93705,2.23615,2.96825
"AllD",4.9399,1.031,2.9831,1.0913,1.07345,2.3641,1.15495,1.05325,1.0541,2.9867,1.0547,1.0782,1.94135
"Random",3.96645,0.53535,2.2335,2.2472,2.2216,2.8195,3.12125,1.4075,0.5648,2.26335,0.60235,1.7699,2.5586
"TitForTat",3.01045,1.0138,2.2367,2.49015,2.3221,2.96625,3.0112,1.5143,1.5013,2.32955,1.48975,1.1891,2.90445
"SuspiciousTFT",3.02105,1.0212,2.2351,2.3331,1.9304,2.9705,3.0184,1.0556,1.03465,2.21585,1.0497,1.16535,2.88785
"GenerousTFT",3.00115,0.6916,1.9865,2.92275,2.90325,2.97345,3.00055,2.30655,1.46195,2.7616,1.70665,1.8967,2.9419
"TitFor2Tats",2.9898,1.0027,1.87525,2.9572,2.94765,2.97105,2.9881,2.36965,1.838,2.24285,2.3888,1.63605,2.96245
"2TitsForTat",3.02575,1.02275,2.59825,1.5628,1.10285,2.8018,2.83665,1.5579,1.4645,2.9526,1.5428,1.0993,2.3319
"Grim",4.0451,1.01985,2.9988,1.5458,1.08415,2.58545,1.92925,1.46975,1.4903,2.9722,1.5974,1.10145,2.1775
"Pavlov",3.85645,0.5367,2.2436,2.3283,2.2001,2.9246,2.8736,1.15535,1.00645,2.951,1.19805,1.6912,2.87705
"Gradual",3.02605,1.02145,2.93835,1.534,1.0987,2.62265,2.47605,1.53455,1.5924,2.97355,1.57475,1.1072,2.30505
"ZD-Extort-2",3.48715,1.01795,2.4669,1.2536,1.20835,2.7897,2.1703,1.08055,1.0762,2.2837,1.0897,1.11815,2.3851
"ZD-Generous",3.0055,0.79885,2.11335,2.8712,2.83135,2.96915,3.0062,1.64165,1.29975,2.8003,1.58205,1.7291,2.93415
